source_id,reply_id,topic,source_text,reply_text,nested,reply_type
5.00288E+17,5.00295E+17,ferguson,Did anyone think of comparing the clothes that #MikeBrown was wearing when he was laying on the street to the security footage? #Ferguson,Identical but irrelevant RT @TheAnonMessage2: Did anyone think of comparing the clothes that #MikeBrown was wearing to the security footage?,0,comment
5.00288E+17,5.0029E+17,ferguson,Did anyone think of comparing the clothes that #MikeBrown was wearing when he was laying on the street to the security footage? #Ferguson,"@TheAnonMessage2 no, because that would require reasoning and then if reasoning is applied, no one can be shot. Shoot now, reason later.",0,support
5.00288E+17,5.0029E+17,ferguson,Did anyone think of comparing the clothes that #MikeBrown was wearing when he was laying on the street to the security footage? #Ferguson,@TheAnonMessage2 http://t.co/nyf2SaMMh8,0,deny
5.00288E+17,5.00291E+17,ferguson,Did anyone think of comparing the clothes that #MikeBrown was wearing when he was laying on the street to the security footage? #Ferguson,"@RemarkablyDope @TheAnonMessage2 is it me, or the dude in the security cam photos is bald? Mike Brown isn't bald i dont belive",1,comment
5.00288E+17,5.00291E+17,ferguson,Did anyone think of comparing the clothes that #MikeBrown was wearing when he was laying on the street to the security footage? #Ferguson,@EricsSauces @TheAnonMessage2 it's not him lmao the store owners already said so,1,comment
5.00288E+17,5.00291E+17,ferguson,Did anyone think of comparing the clothes that #MikeBrown was wearing when he was laying on the street to the security footage? #Ferguson,@RemarkablyDope @TheAnonMessage2 my God @stlcountypd sucks,1,comment
5.00288E+17,5.00289E+17,ferguson,Did anyone think of comparing the clothes that #MikeBrown was wearing when he was laying on the street to the security footage? #Ferguson,.@TheAnonMessage2  yes. They don't match. Flip flops + hat in store. Shoes + no hat in final pic.,0,support
5.00288E+17,5.00289E+17,ferguson,Did anyone think of comparing the clothes that #MikeBrown was wearing when he was laying on the street to the security footage? #Ferguson,It's a good thing u went to detective school....wat would the cops do w/o u? @TheAnonMessage2,0,comment
5.00288E+17,5.00289E+17,ferguson,Did anyone think of comparing the clothes that #MikeBrown was wearing when he was laying on the street to the security footage? #Ferguson,@TheAnonMessage2 yes hat and sandals vs no hat and tennis shoes,0,support
5.00288E+17,5.0029E+17,ferguson,Did anyone think of comparing the clothes that #MikeBrown was wearing when he was laying on the street to the security footage? #Ferguson,@Manning_Eli_1 @TheAnonMessage2  I thought the same thing.,1,support
5.00288E+17,5.00289E+17,ferguson,Did anyone think of comparing the clothes that #MikeBrown was wearing when he was laying on the street to the security footage? #Ferguson,@TheAnonMessage2 had the same flip flops on.,0,support
5.00288E+17,5.00298E+17,ferguson,Did anyone think of comparing the clothes that #MikeBrown was wearing when he was laying on the street to the security footage? #Ferguson,"@TheAnonMessage2 Did anyone think that, holy balls, he was old enough to know how to change his clothes?",0,support
