,reply_text,reply_type
0,"['Identical', 'but', 'irrelevant', 'RT', ':', 'Did', 'anyone', 'think', 'of', 'comparing', 'the', 'clothes', 'that', 'was', 'wearing', 'to', 'the', 'security', 'footage', '?']",comment
1,"['no', ',', 'because', 'that', 'would', 'require', 'reasoning', 'and', 'then', 'if', 'reasoning', 'is', 'applied', ',', 'no', 'one', 'can', 'be', 'shot', '.', 'Shoot', 'now', ',', 'reason', 'later', '.']",support
2,[],deny
3,"['is', 'it', 'me', ',', 'or', 'the', 'dude', 'in', 'the', 'security', 'cam', 'photos', 'is', 'bald', '?', 'Mike', 'Brown', ""isn't"", 'bald', 'i', 'dont', 'belive']",comment
4,"[""it's"", 'not', 'him', 'lmao', 'the', 'store', 'owners', 'already', 'said', 'so']",comment
5,"['my', 'God', 'sucks']",comment
6,"['.', 'yes', '.', 'They', ""don't"", 'match', '.', 'Flip', 'flops', '+', 'hat', 'in', 'store', '.', 'Shoes', '+', 'no', 'hat', 'in', 'final', 'pic', '.']",support
7,"[""It's"", 'a', 'good', 'thing', 'u', 'went', 'to', 'detective', 'school', '...', 'wat', 'would', 'the', 'cops', 'do', 'w', '/', 'o', 'u', '?']",comment
8,"['yes', 'hat', 'and', 'sandals', 'vs', 'no', 'hat', 'and', 'tennis', 'shoes']",support
9,"['I', 'thought', 'the', 'same', 'thing', '.']",support
10,"['had', 'the', 'same', 'flip', 'flops', 'on', '.']",support
11,"['Did', 'anyone', 'think', 'that', ',', 'holy', 'balls', ',', 'he', 'was', 'old', 'enough', 'to', 'know', 'how', 'to', 'change', 'his', 'clothes', '?']",support
12,"['Yeah', '.', 'just', 'did', 'on', 'CNN', '.']",comment
13,"['No', 'but', 'it', 'def', 'softens', 'the', 'blow', '.']",query
14,"['Even', 'if', 'he', 'had', 'robbed', 'a', 'convenience', 'store', ',', ""that's"", 'no', 'excuse', 'for', 'murder', '.']",deny
15,"[""it's"", 'not', 'race', 'were', 'all', 'targeted', 'by', 'the', 'governments', ',', 'cops', ',', 'swat', ',', 'FBI', ',', ""they'll"", 'silence', 'anyone', ""who'll"", 'try', 'to', 'tell', 'the', 'truth']",comment
16,"['of', 'course', ',', 'however', 'please', 'do', 'not', 'try', 'and', 'compare', 'it', 'to', 'hundreds', 'of', 'years', 'of', 'systemic', 'oppression', 'of', 'a', 'whole', 'people']",deny
17,"['Good', 'job', ',', 'faggots', '.', 'You', 'IDd', 'the', 'wrong', 'man', '.']",deny
18,"['BAM', 'ANTI-WHITES', 'get', 'caught', 'with', 'their', 'foot', 'in', 'their', 'mouth', 'in', 'front', 'of', 'the', 'WORLD', 'LMAO']",comment
19,"['anti-whites', '?']",comment
20,"['yup', 'Anti-Racist', 'is', 'a', 'codeword', 'for', 'ANTI-WHITE']",comment
21,"['A', 'robbery', ""doesn't"", 'excuse', 'an', 'execution', 'style', 'murder', 'I', ""don't"", 'give', 'a', 'fuck', 'what', 'anyone', 'says', '.', 'Swisher', 'Sweets', ""aren't"", 'worth', 'a', 'life', '.']",comment
22,"['corny', ',', 'but', 'only', 'TRUE', 'evil', 'wants', 'Us', 'to', 'believe', 'INERT', 'OBJECTS', 'are', 'more', 'valuable', 'than', 'LIFE', '!', '-', '-', 'GBJ']",query
23,"['Strong', 'armed', 'robbery', ',', 'Assault', 'on', 'the', 'store', 'clerk', ',', 'assaulting', 'a', 'police', 'officer', '...', 'and', 'the', 'info', 'continues', 'to', 'come', 'in', '.']",comment
24,"['?', '.', 'From', 'Murder', 'in', 'the', 'st', 'to', 'a', 'Gross', 'Misdemeanor', '.']",comment
25,"[""don't"", 'make', 'this', 'a', 'race', 'issue', '.', 'The', 'militarization', 'of', 'the', 'police', 'is', 'the', 'issue']",comment
26,"['it', 'STARTED', 'as', 'a', 'race', 'issue', ',', 'then', 'people', 'tried', 'to', 'SWAY', 'it', 'to', 'an', 'issue', 'of', 'militarization', ',', 'dont', 'get', 'it', 'twisted']",comment
27,"['You', 'realize', 'police', 'brutality', 'affects', 'all', 'races', 'right', '?']",comment
28,"['you', 'imagine', 'the', 'shitstorm', 'if', 'this', 'guy', 'was', 'black', '?', 'Doubt', 'U', 'heard', 'about', 'it']",comment
29,"['but', 'because', 'of', 'the', 'training', 'that', 'cops', 'receive', 'now', 'is', 'more', 'military', 'in', 'manner', 'they', 'react', 'overly', 'aggressive', 'towards', 'us', '(', 'non-cop', ')']",query
30,"['well', 'put', '.', 'There', 'are', 'bigger', 'issues', 'the', 'masses', 'are', 'finally', 'starting', 'to', 'see', '.']",comment
31,"['Bring', 'the', 'get', 'that', 'bastard']",comment
32,"['“', ':', 'BREAKING', 'NEWS', ':', 'Gunmen', 'take', 'hostages', 'at', 'Sydney', 'cafe', ',', 'wave', 'Islamic', 'flag', '”', 'well', 'fuck']",support
33,"['“', ':', 'BREAKING', 'NEWS', ':', 'Gunmen', 'take', 'hostages', 'at', 'Sydney', 'cafe', ',', 'wave', 'Islamic', 'flag', '”']",support
34,"['Smfh', 'RT', ':', 'BREAKING', 'NEWS', ':', 'Gunmen', 'take', 'hostages', 'at', 'Sydney', 'cafe', ',', 'wave', 'Islamic', 'flag']",support
35,"['“', ':', 'BREAKING', 'NEWS', ':', 'Gunmen', 'take', 'hostages', 'at', 'Sydney', 'cafe', ',', 'wave', 'Islamic', 'flag', '”']",support
36,"[""that's"", 'not', 'the', 'Islamic', 'flag', '...']",deny
37,"['wtf', 'fuk', 'u', 'Islamic', 'state', 'suck', 'my', 'dick', 'with', 'bacon', 'wrapped', 'around', 'it']",comment
